location,Santa Cruz de Tenerife,Santa Cruz de Tenerife,Santa Cruz de Tenerife
lat,28.48322,28.48322,28.48322
lon,-16.27791,-16.27791,-16.27791
asl,233.655,233.655,233.655
variable,Temperature,Temperature,Temperature
unit,°C,°C,°C
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected
resolution,daily,daily,daily
aggregation,Maximum,Minimum,Mean
timestamp,Santa Cruz de Tenerife Temperature [2 m elevation corrected],Santa Cruz de Tenerife Temperature [2 m elevation corrected],Santa Cruz de Tenerife Temperature [2 m elevation corrected]
20211001T0000,24.842756,19.947756,21.726089
20211002T0000,25.022756,19.467757,22.266918
20211003T0000,23.092756,19.477757,20.766004
20211004T0000,23.912755,19.507756,21.49334
20211005T0000,23.062757,20.987756,21.838756
20211006T0000,23.352756,18.583756,21.436674
20211007T0000,23.413756,18.683755,20.949425
20211008T0000,24.013757,17.683756,20.498007
20211009T0000,24.313757,17.403757,20.283926
20211010T0000,24.013756,18.543756,20.99351
20211011T0000,24.813756,19.983756,21.723089
20211012T0000,25.023756,19.463757,22.262218
20211013T0000,23.013756,19.483757,20.760204
20211014T0000,23.913755,19.503756,21.49324
20211015T0000,23.013757,20.983756,21.738256
20211016T0000,23.33756,18.533756,21.436624
20211017T0000,23.443756,18.683755,20.945225
20211018T0000,24.373757,17.673756,20.495207
20211019T0000,24.423757,17.403757,20.287226
20211020T0000,24.543756,18.543756,20.99221
20211021T0000,24.543756,19.943756,21.727289
20211022T0000,25.023756,19.463757,22.262218
20211023T0000,23.093756,19.473757,20.760204
20211024T0000,23.913755,19.503756,21.42334
20211025T0000,23.063757,20.933756,21.728756
20211026T0000,23.353756,18.533756,21.436674
20211027T0000,23.443756,18.663755,20.945425
20211028T0000,24.073757,17.673756,20.495007
20211029T0000,24.323757,17.403757,20.287926
20211030T0000,24.043756,18.543756,20.99251
20211031T0000,24.243757,17.773756,20.658342
20211101T0000,24.373756,18.093756,21.171255
20211102T0000,25.053757,19.193756,22.033758
20211103T0000,25.023756,19.653757,22.086256
20211104T0000,22.933756,18.663755,21.047506
